"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 16 18:42:33 IST 2024","Tue Apr 16 18:42:47 IST 2024","14094","chromium","PAGE_OBJECT_MODEL.spec.js","","","","POM",""
"passed","Tue Apr 16 18:42:33 IST 2024","Tue Apr 16 18:42:47 IST 2024","14505","chromium","Test2.spec.js","","","","POM2",""
